name,dataset,split
patch_1_1_by_1_LC08_L1TP_002053_20160520_20170324_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_002054_20160520_20170324_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_035034_20160120_20170224_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_039034_20160320_20170224_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_047023_20160920_20170221_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_1_1_by_1_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_002053_20160520_20170324_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_002054_20160520_20170324_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_035034_20160120_20170224_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_039034_20160320_20170224_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_047023_20160920_20170221_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_10_1_by_10_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_100_5_by_12_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_100_5_by_12_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_100_5_by_12_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_100_5_by_12_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_100_5_by_12_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_100_5_by_16_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_100_5_by_16_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_100_5_by_16_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_100_5_by_16_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_100_5_by_16_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
patch_100_5_by_16_LC08_L1TP_047023_20160920_20170221_01_T1,38cloud,train
patch_100_5_by_20_LC08_L1TP_002053_20160520_20170324_01_T1,38cloud,train
patch_100_5_by_20_LC08_L1TP_002054_20160520_20170324_01_T1,38cloud,train
patch_100_5_by_20_LC08_L1TP_035034_20160120_20170224_01_T1,38cloud,train
patch_100_5_by_20_LC08_L1TP_039034_20160320_20170224_01_T1,38cloud,train
patch_100_5_by_4_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_100_5_by_8_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_100_5_by_8_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_101_5_by_13_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_101_5_by_13_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_101_5_by_13_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_101_5_by_13_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_101_5_by_13_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_101_5_by_17_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_101_5_by_17_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_101_5_by_17_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_101_5_by_17_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_101_5_by_17_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
patch_101_5_by_17_LC08_L1TP_047023_20160920_20170221_01_T1,38cloud,train
patch_101_5_by_5_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_101_5_by_9_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_101_5_by_9_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_101_6_by_1_LC08_L1TP_002053_20160520_20170324_01_T1,38cloud,train
patch_101_6_by_1_LC08_L1TP_002054_20160520_20170324_01_T1,38cloud,train
patch_101_6_by_1_LC08_L1TP_035034_20160120_20170224_01_T1,38cloud,train
patch_101_6_by_1_LC08_L1TP_039034_20160320_20170224_01_T1,38cloud,train
patch_102_5_by_10_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_102_5_by_10_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_102_5_by_14_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_102_5_by_14_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_102_5_by_14_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_102_5_by_14_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_102_5_by_14_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_102_5_by_18_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_102_5_by_18_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_102_5_by_18_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_102_5_by_18_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_102_5_by_18_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
patch_102_5_by_18_LC08_L1TP_047023_20160920_20170221_01_T1,38cloud,train
patch_102_5_by_6_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_102_6_by_2_LC08_L1TP_002053_20160520_20170324_01_T1,38cloud,train
patch_102_6_by_2_LC08_L1TP_002054_20160520_20170324_01_T1,38cloud,train
patch_102_6_by_2_LC08_L1TP_035034_20160120_20170224_01_T1,38cloud,train
patch_102_6_by_2_LC08_L1TP_039034_20160320_20170224_01_T1,38cloud,train
patch_103_5_by_11_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_103_5_by_11_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_103_5_by_15_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_103_5_by_15_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_103_5_by_15_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_103_5_by_15_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_103_5_by_15_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_103_5_by_19_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_103_5_by_19_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_103_5_by_19_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_103_5_by_19_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_103_5_by_19_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
patch_103_5_by_19_LC08_L1TP_047023_20160920_20170221_01_T1,38cloud,train
patch_103_5_by_7_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_103_6_by_3_LC08_L1TP_002053_20160520_20170324_01_T1,38cloud,train
patch_103_6_by_3_LC08_L1TP_002054_20160520_20170324_01_T1,38cloud,train
patch_103_6_by_3_LC08_L1TP_035034_20160120_20170224_01_T1,38cloud,train
patch_103_6_by_3_LC08_L1TP_039034_20160320_20170224_01_T1,38cloud,train
patch_104_5_by_12_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_104_5_by_12_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_104_5_by_16_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_104_5_by_16_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_104_5_by_16_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_104_5_by_16_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_104_5_by_16_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_104_5_by_20_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_104_5_by_20_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_104_5_by_20_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_104_5_by_20_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_104_5_by_20_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
patch_104_5_by_20_LC08_L1TP_047023_20160920_20170221_01_T1,38cloud,train
patch_104_5_by_8_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_104_6_by_4_LC08_L1TP_002053_20160520_20170324_01_T1,38cloud,train
patch_104_6_by_4_LC08_L1TP_002054_20160520_20170324_01_T1,38cloud,train
patch_104_6_by_4_LC08_L1TP_035034_20160120_20170224_01_T1,38cloud,train
patch_104_6_by_4_LC08_L1TP_039034_20160320_20170224_01_T1,38cloud,train
patch_105_5_by_13_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_105_5_by_13_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_105_5_by_17_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_105_5_by_17_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_105_5_by_17_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_105_5_by_17_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_105_5_by_17_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_105_5_by_21_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_105_5_by_21_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_105_5_by_21_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_105_5_by_21_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_105_5_by_21_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
patch_105_5_by_21_LC08_L1TP_047023_20160920_20170221_01_T1,38cloud,train
patch_105_5_by_9_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_105_6_by_5_LC08_L1TP_002053_20160520_20170324_01_T1,38cloud,train
patch_105_6_by_5_LC08_L1TP_002054_20160520_20170324_01_T1,38cloud,train
patch_105_6_by_5_LC08_L1TP_035034_20160120_20170224_01_T1,38cloud,train
patch_105_6_by_5_LC08_L1TP_039034_20160320_20170224_01_T1,38cloud,train
patch_106_5_by_10_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_106_5_by_14_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_106_5_by_14_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_106_5_by_18_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_106_5_by_18_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_106_5_by_18_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_106_5_by_18_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_106_5_by_18_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_106_6_by_1_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_106_6_by_1_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_106_6_by_1_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_106_6_by_1_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_106_6_by_1_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
patch_106_6_by_1_LC08_L1TP_047023_20160920_20170221_01_T1,38cloud,train
patch_106_6_by_6_LC08_L1TP_002053_20160520_20170324_01_T1,38cloud,train
patch_106_6_by_6_LC08_L1TP_002054_20160520_20170324_01_T1,38cloud,train
patch_106_6_by_6_LC08_L1TP_035034_20160120_20170224_01_T1,38cloud,train
patch_106_6_by_6_LC08_L1TP_039034_20160320_20170224_01_T1,38cloud,train
patch_107_5_by_11_LC08_L1TP_011002_20160620_20170323_01_T1,38cloud,train
patch_107_5_by_15_LC08_L1TP_044010_20160220_20170224_01_T1,38cloud,train
patch_107_5_by_15_LC08_L1TP_059014_20160620_20170221_01_T1,38cloud,train
patch_107_5_by_19_LC08_L1TP_061017_20160720_20170223_01_T1,38cloud,train
patch_107_5_by_19_LC08_L1TP_063016_20160920_20170221_01_T1,38cloud,train
patch_107_5_by_19_LC08_L1TP_064014_20160420_20170223_01_T1,38cloud,train
patch_107_5_by_19_LC08_L1TP_064017_20160420_20170223_01_T1,38cloud,train
patch_107_5_by_19_LC08_L1TP_066017_20160520_20170223_01_T1,38cloud,train
patch_107_6_by_2_LC08_L1TP_011247_20160620_20170323_01_T1,38cloud,train
patch_107_6_by_2_LC08_L1TP_029040_20160720_20170222_01_T1,38cloud,train
patch_107_6_by_2_LC08_L1TP_032029_20160420_20170223_01_T1,38cloud,train
patch_107_6_by_2_LC08_L1TP_034034_20160520_20170223_01_T1,38cloud,train
patch_107_6_by_2_LC08_L1TP_045026_20160720_20170221_01_T1,38cloud,train
